precision,recall,threshold
0.9978090766823161,0.9465558194774347,0.9959200620651245
0.9978001257071024,0.9426959619952494,0.9960353970527649
0.9977812995245642,0.9346793349168646,0.9963380098342896
0.9976928147659855,0.8987529691211401,0.9966164231300354
0.997682119205298,0.8945961995249406,0.9966946840286255
0.9976790450928382,0.8934085510688836,0.9967999458312988
0.9986724195154332,0.8934085510688836,0.9968143105506897
0.99867197875166,0.8931116389548693,0.9969342947006226
0.9986697705354174,0.8916270783847982,0.996993899345398
0.9986230636833047,0.8613420427553444,0.9970824122428894
0.9986197377501725,0.8592636579572447,0.997168242931366
0.9985744832501782,0.8319477434679335,0.997309684753418
0.9989196975153043,0.8236342042755345,0.9974135756492615
1.0,0.8206650831353919,0.9974926710128784
1.0,0.8031472684085511,0.9975236058235168
1.0,0.7939429928741093,0.9976097345352173
1.0,0.793646080760095,0.9976720213890076
1.0,0.7918646080760094,0.9977216124534607
1.0,0.7915676959619953,0.9977428913116455
1.0,0.791270783847981,0.9977738261222839
1.0,0.7850356294536817,0.997871994972229
1.0,0.7844418052256532,0.9978923201560974
1.0,0.7271377672209026,0.9979856014251709
1.0,0.7265439429928741,0.9980084300041199
1.0,0.7259501187648456,0.9980769157409668
1.0,0.7125890736342043,0.9981448650360107
1.0,0.7090261282660333,0.9981511235237122
1.0,0.6778503562945368,0.998231828212738
1.0,0.6775534441805225,0.9982712268829346
1.0,0.665083135391924,0.9983803033828735
1.0,0.6647862232779097,0.9984089732170105
1.0,0.663895486935867,0.9984470009803772
1.0,0.6635985748218527,0.9984490871429443
1.0,0.6633016627078385,0.9984935522079468
1.0,0.661520190023753,0.9985026121139526
1.0,0.6576603325415677,0.9985255599021912
1.0,0.6386579572446556,0.9985920786857605
1.0,0.6380641330166271,0.9987047910690308
1.0,0.6368764845605701,0.9988516569137573
1.0,0.6365795724465558,0.9990339279174805
1.0,0.4412114014251782,0.9990357160568237
1.0,0.44061757719714967,0.9993312358856201
1.0,0.43942992874109266,0.9994080066680908
1.0,0.2770190023752969,0.9994613528251648
1.0,0.2764251781472684,0.99953293800354
1.0,0.08224465558194774,0.999538779258728
1.0,0.058788598574821854,0.9996001124382019
1.0,0.0584916864608076,0.9996023774147034
1.0,0.04334916864608076,0.999618649482727
1.0,0.04275534441805225,0.9996218681335449
1.0,0.04245843230403801,0.9996768236160278
1.0,0.04156769596199525,0.9997022747993469
1.0,0.041270783847980996,0.9997292160987854
1.0,0.040380047505938245,0.9997988343238831
1.0,0.04008313539192399,0.9998140931129456
1.0,0.03978622327790974,0.999893069267273
1.0,0.03948931116389549,0.9998998641967773
1.0,0.021080760095011877,0.9999034404754639
1.0,0.010985748218527316,0.9999059438705444
1.0,0.010391923990498812,0.9999102354049683
1.0,0.009798099762470308,0.9999217987060547
1.0,0.004156769596199525,0.9999246597290039
1.0,0.003859857482185273,0.9999340772628784
1.0,0.0035629453681710215,0.9999344348907471
1.0,0.0032660332541567696,0.9999536275863647
1.0,0.0029691211401425177,0.9999549388885498
1.0,0.002672209026128266,0.9999563694000244
1.0,0.0023752969121140144,0.9999572038650513
1.0,0.0017814726840855108,0.9999599456787109
1.0,0.0011876484560570072,0.9999735355377197
1.0,0.0005938242280285036,0.9999743700027466
1.0,0.0002969121140142518,0.9999793767929077
1.0,0.0,
